Date : 2025-05-06 17:06:15
Directory : e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src
Total : 174 files,  146803 codes, 5457 comments, 14495 blanks, all 166755 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| CSS             |         48 |    107,768 |        453 |     10,781 |    119,002 |
| JavaScript      |         28 |     27,001 |      4,691 |      2,949 |     34,641 |
| HTML            |         30 |      4,247 |        159 |        198 |      4,604 |
| XML             |          1 |      2,671 |          0 |          1 |      2,672 |
| Less            |         14 |      1,758 |         44 |         48 |      1,850 |
| SCSS            |         14 |      1,758 |         44 |         48 |      1,850 |
| Java            |         37 |      1,583 |         57 |        457 |      2,097 |
| Java Properties |          1 |         12 |          9 |         12 |         33 |
| PHP             |          1 |          5 |          0 |          1 |          6 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                     |        174 |    146,803 |      5,457 |     14,495 |    166,755 |
| main                                                                                                                                                                                                                  |        173 |    146,794 |      5,457 |     14,490 |    166,741 |
| main\java                                                                                                                                                                                                             |         36 |      1,574 |         57 |        452 |      2,083 |
| main\java\vn                                                                                                                                                                                                          |         36 |      1,574 |         57 |        452 |      2,083 |
| main\java\vn\hoidanit                                                                                                                                                                                                 |         36 |      1,574 |         57 |        452 |      2,083 |
| main\java\vn\hoidanit\laptopshop                                                                                                                                                                                      |         36 |      1,574 |         57 |        452 |      2,083 |
| main\java\vn\hoidanit\laptopshop (Files)                                                                                                                                                                              |          1 |          9 |          0 |          7 |         16 |
| main\java\vn\hoidanit\laptopshop\config                                                                                                                                                                               |          3 |        171 |          4 |         43 |        218 |
| main\java\vn\hoidanit\laptopshop\controller                                                                                                                                                                           |          7 |        422 |         16 |         87 |        525 |
| main\java\vn\hoidanit\laptopshop\controller\admin                                                                                                                                                                     |          4 |        242 |         10 |         44 |        296 |
| main\java\vn\hoidanit\laptopshop\controller\client                                                                                                                                                                    |          3 |        180 |          6 |         43 |        229 |
| main\java\vn\hoidanit\laptopshop\domain                                                                                                                                                                               |          8 |        538 |         14 |        165 |        717 |
| main\java\vn\hoidanit\laptopshop\domain (Files)                                                                                                                                                                       |          7 |        493 |         14 |        151 |        658 |
| main\java\vn\hoidanit\laptopshop\domain\dto                                                                                                                                                                           |          1 |         45 |          0 |         14 |         59 |
| main\java\vn\hoidanit\laptopshop\repository                                                                                                                                                                           |          7 |         70 |          1 |         45 |        116 |
| main\java\vn\hoidanit\laptopshop\service                                                                                                                                                                              |          8 |        332 |         22 |         95 |        449 |
| main\java\vn\hoidanit\laptopshop\service (Files)                                                                                                                                                                      |          4 |        257 |         18 |         69 |        344 |
| main\java\vn\hoidanit\laptopshop\service\validator                                                                                                                                                                    |          4 |         75 |          4 |         26 |        105 |
| main\java\vn\hoidanit\laptopshop\test                                                                                                                                                                                 |          2 |         32 |          0 |         10 |         42 |
| main\java\vn\hoidanit\laptopshop\test\controller                                                                                                                                                                      |          2 |         32 |          0 |         10 |         42 |
| main\resources                                                                                                                                                                                                        |          1 |         12 |          9 |         12 |         33 |
| main\webapp                                                                                                                                                                                                           |        136 |    145,208 |      5,391 |     14,026 |    164,625 |
| main\webapp\WEB-INF                                                                                                                                                                                                   |         30 |      4,247 |        159 |        198 |      4,604 |
| main\webapp\WEB-INF\view                                                                                                                                                                                              |         30 |      4,247 |        159 |        198 |      4,604 |
| main\webapp\WEB-INF\view (Files)                                                                                                                                                                                      |          1 |         26 |          2 |          5 |         33 |
| main\webapp\WEB-INF\view\admin                                                                                                                                                                                        |         15 |      1,872 |         28 |         84 |      1,984 |
| main\webapp\WEB-INF\view\admin\dashboard                                                                                                                                                                              |          1 |        628 |          0 |          2 |        630 |
| main\webapp\WEB-INF\view\admin\layout                                                                                                                                                                                 |          3 |        106 |         10 |          9 |        125 |
| main\webapp\WEB-INF\view\admin\order                                                                                                                                                                                  |          1 |         47 |          0 |          2 |         49 |
| main\webapp\WEB-INF\view\admin\product                                                                                                                                                                                |          5 |        583 |          8 |         34 |        625 |
| main\webapp\WEB-INF\view\admin\user                                                                                                                                                                                   |          5 |        508 |         10 |         37 |        555 |
| main\webapp\WEB-INF\view\client                                                                                                                                                                                       |         12 |      2,060 |        115 |         96 |      2,271 |
| main\webapp\WEB-INF\view\client\auth                                                                                                                                                                                  |          3 |        304 |          0 |          4 |        308 |
| main\webapp\WEB-INF\view\client\cart                                                                                                                                                                                  |          3 |        573 |         46 |         55 |        674 |
| main\webapp\WEB-INF\view\client\homepage                                                                                                                                                                              |          1 |        559 |         12 |         13 |        584 |
| main\webapp\WEB-INF\view\client\layout                                                                                                                                                                                |          4 |        358 |         38 |          8 |        404 |
| main\webapp\WEB-INF\view\client\product                                                                                                                                                                               |          1 |        266 |         19 |         16 |        301 |
| main\webapp\WEB-INF\view\test                                                                                                                                                                                         |          2 |        289 |         14 |         13 |        316 |
| main\webapp\WEB-INF\view\test (Files)                                                                                                                                                                                 |          1 |         11 |          0 |          1 |         12 |
| main\webapp\WEB-INF\view\test\client                                                                                                                                                                                  |          1 |        278 |         14 |         12 |        304 |
| main\webapp\resources                                                                                                                                                                                                 |        106 |    140,961 |      5,232 |     13,828 |    160,021 |
